Language	Speakers	Sample Size	Model Name	V-Measure Score	Num Chunks
cal	40	600	dccuchile/bert-base-spanish-wwm-cased	0.3888 ± 0.0087	1742
cal	40	600	hiiamsid/sentence_similarity_spanish_es	0.4030 ± 0.0095	1742
cal	40	600	intfloat/multilingual-e5-large	0.4148 ± 0.0097	1742
cal	40	600	BAAI/bge-m3	0.4243 ± 0.0089	1742
cal	40	600	jinaai/jina-embeddings-v3	0.3782 ± 0.0097	1742
dutch	40	600	emanjavacas/GysBERT-v2	0.6701 ± 0.0097	740
dutch	40	600	DTAI-KULeuven/robbert-2023-dutch-large	0.6191 ± 0.0102	740
dutch	40	600	intfloat/multilingual-e5-large	0.6449 ± 0.0090	740
dutch	40	600	BAAI/bge-m3	0.6529 ± 0.0093	740
dutch	40	600	jinaai/jina-embeddings-v3	0.5903 ± 0.0134	740
eng	40	600	emanjavacas/MacBERTh	0.7531 ± 0.0103	657
eng	40	600	BAAI/bge-large-en-v1.5	0.5320 ± 0.0117	657
eng	40	600	intfloat/multilingual-e5-large	0.6016 ± 0.0127	657
eng	40	600	BAAI/bge-m3	0.6374 ± 0.0142	657
eng	40	600	jinaai/jina-embeddings-v3	0.5664 ± 0.0080	657
fre	40	600	dbmdz/bert-base-french-europeana-cased	0.3795 ± 0.0097	4626
fre	40	600	intfloat/multilingual-e5-large	0.3712 ± 0.0114	4626
fre	40	600	BAAI/bge-m3	0.3732 ± 0.0104	4626
fre	40	600	jinaai/jina-embeddings-v3	0.3637 ± 0.0086	4626
ger	40	600	dbmdz/bert-base-german-europeana-uncased	0.5749 ± 0.0071	861
ger	40	600	deutsche-telekom/gbert-large-paraphrase-cosine	0.5033 ± 0.0115	861
ger	40	600	intfloat/multilingual-e5-large	0.5600 ± 0.0110	861
ger	40	600	BAAI/bge-m3	0.5686 ± 0.0128	861
ger	40	600	jinaai/jina-embeddings-v3	0.4718 ± 0.0139	861
ita	40	600	models/bertoldo-all/checkpoint	0.4799 ± 0.0084	792
ita	40	600	nickprock/sentence-bert-base-italian-xxl-uncased	0.6013 ± 0.0127	792
ita	40	600	intfloat/multilingual-e5-large	0.6333 ± 0.0094	792
ita	40	600	BAAI/bge-m3	0.6234 ± 0.0142	792
ita	40	600	jinaai/jina-embeddings-v3	0.5924 ± 0.0092	792
